"","block","id","race","gender","age","age_cat"
"1","1",8307,"B","F",53,"3"
"2","1",10406,"B","M",43,"3"
"3","1",8267,"B","M",46,"3"
"4","1",5593,"W","M",37,"3"
"5","1",61,"B","F",51,"3"
"6","1",5438,"B","M",20,"1"
"7","1",5557,"B","M",51,"3"
"8","1",9924,"W","M",29,"2"
"9","1",4767,"W","M",39,"3"
"10","1",1733,"W","F",52,"3"
"11","1",4766,"W","M",26,"2"
"12","1",5647,"B","F",42,"3"
"13","1",8827,"L","M",26,"2"
"14","1",2719,"B","M",23,"1"
"15","1",1443,"B","M",45,"3"
"16","1",7652,"B","M",25,"2"
"17","1",3732,"B","M",26,"2"
"18","1",1024,"B","M",27,"2"
"19","1",10307,"B","M",31,"2"
"20","1",8613,"W","M",33,"2"
"21","1",6064,"W","F",31,"2"
"22","1",10452,"B","F",44,"3"
"23","1",8141,"W","M",21,"1"
"24","1",3398,"B","M",21,"1"
"25","1",8104,"B","F",42,"3"
"26","1",9644,"B","M",22,"1"
"27","1",3635,"B","F",24,"1"
"28","1",1642,"W","M",29,"2"
"29","1",9295,"L","M",30,"2"
"30","1",4105,"W","M",33,"2"
"31","1",8517,"B","M",23,"1"
"32","1",4841,"W","M",55,"3"
"33","1",10011,"B","M",45,"3"
"34","1",1441,"B","M",30,"2"
"35","1",2182,"B","F",26,"2"
"36","1",9435,"W","M",24,"1"
"37","1",1741,"B","M",24,"1"
"38","1",7324,"W","M",30,"2"
"39","1",2910,"W","M",42,"3"
"40","1",3957,"L","M",24,"1"
"41","1",1022,"B","F",31,"2"
"42","1",921,"B","M",30,"2"
"43","1",3115,"B","F",40,"3"
"44","1",7678,"B","M",28,"2"
"45","1",855,"B","M",38,"3"
"46","1",2393,"B","M",22,"1"
"47","1",9501,"L","M",45,"3"
"48","1",7412,"W","M",28,"2"
"49","1",10044,"W","M",34,"2"
"50","1",8938,"B","F",48,"3"
"51","2",3248,"W","M",70,"3"
"52","2",4943,"B","M",46,"3"
"53","2",3854,"B","M",22,"1"
"54","2",1103,"B","M",22,"1"
"55","2",4977,"W","M",39,"3"
"56","2",5765,"B","M",51,"3"
"57","2",2002,"W","M",49,"3"
"58","2",4860,"B","F",24,"1"
"59","2",1941,"B","M",28,"2"
"60","2",913,"B","M",31,"2"
"61","2",3010,"W","M",58,"3"
"62","2",7897,"W","F",24,"1"
"63","2",7920,"B","M",22,"1"
"64","2",375,"W","M",30,"2"
"65","2",4991,"B","M",58,"3"
"66","2",4546,"B","M",32,"2"
"67","2",8046,"B","M",27,"2"
"68","2",1066,"W","M",40,"3"
"69","2",5049,"W","F",26,"2"
"70","2",10502,"W","M",31,"2"
"71","2",4640,"B","M",25,"2"
"72","2",4098,"B","M",26,"2"
"73","2",7834,"B","M",33,"2"
"74","2",794,"B","M",29,"2"
"75","2",408,"W","F",22,"1"
"76","2",3647,"B","M",20,"1"
"77","2",5500,"W","M",72,"3"
"78","2",2034,"W","M",37,"3"
"79","2",726,"W","M",34,"2"
"80","2",9634,"L","M",24,"1"
"81","2",6189,"W","F",46,"3"
"82","2",4629,"W","M",55,"3"
"83","2",9407,"B","M",40,"3"
"84","2",6240,"B","M",50,"3"
"85","2",2525,"W","M",28,"2"
"86","2",8162,"A","M",48,"3"
"87","2",1195,"B","F",37,"3"
"88","2",2703,"B","M",51,"3"
"89","2",6207,"B","M",38,"3"
"90","2",10423,"W","M",28,"2"
"91","2",282,"W","M",45,"3"
"92","2",7032,"W","F",58,"3"
"93","2",838,"B","M",44,"3"
"94","2",10220,"B","M",24,"1"
"95","2",1490,"B","M",30,"2"
"96","2",6884,"W","M",29,"2"
"97","2",10748,"W","M",44,"3"
"98","2",1361,"B","M",27,"2"
"99","2",4161,"B","M",54,"3"
"100","2",5270,"B","M",31,"2"
"101","3",7416,"L","M",26,"2"
"102","3",8099,"W","M",28,"2"
"103","3",2685,"B","F",21,"1"
"104","3",2624,"B","M",51,"3"
"105","3",3768,"B","F",36,"3"
"106","3",10448,"B","M",48,"3"
"107","3",5614,"B","M",33,"2"
"108","3",2338,"L","M",59,"3"
"109","3",4029,"L","M",28,"2"
"110","3",4082,"W","M",24,"1"
"111","3",4426,"W","F",43,"3"
"112","3",7079,"W","M",25,"2"
"113","3",7840,"W","M",22,"1"
"114","3",9889,"B","M",35,"2"
"115","3",7315,"B","M",24,"1"
"116","3",2691,"B","M",54,"3"
"117","3",7010,"B","M",54,"3"
"118","3",7170,"W","M",22,"1"
"119","3",6314,"W","M",20,"1"
"120","3",999,"W","M",38,"3"
"121","3",4620,"W","M",41,"3"
"122","3",8909,"W","M",46,"3"
"123","3",5607,"W","M",38,"3"
"124","3",4126,"B","M",30,"2"
"125","3",6683,"B","F",24,"1"
"126","3",10390,"W","M",29,"2"
"127","3",10762,"L","F",26,"2"
"128","3",4703,"L","M",25,"2"
"129","3",9428,"W","M",52,"3"
"130","3",5917,"B","M",32,"2"
"131","3",5213,"L","M",33,"2"
"132","3",505,"B","M",29,"2"
"133","3",1833,"A","M",24,"1"
"134","3",5352,"B","M",24,"1"
"135","3",7224,"B","M",24,"1"
"136","3",10783,"W","M",66,"3"
"137","3",5217,"B","M",37,"3"
"138","3",4461,"W","M",64,"3"
"139","3",3510,"W","M",36,"3"
"140","3",9844,"W","M",51,"3"
"141","3",526,"W","F",21,"1"
"142","3",10824,"B","F",23,"1"
"143","3",9690,"B","F",26,"2"
"144","3",10919,"B","M",35,"2"
"145","3",2572,"B","F",28,"2"
"146","3",8528,"B","M",32,"2"
"147","3",1159,"B","F",53,"3"
"148","3",3234,"W","M",39,"3"
"149","3",1286,"W","M",24,"1"
"150","3",7219,"B","M",32,"2"
"151","4",2773,"B","F",49,"3"
"152","4",4558,"W","M",33,"2"
"153","4",9352,"W","M",20,"1"
"154","4",8924,"B","M",27,"2"
"155","4",853,"B","M",50,"3"
"156","4",1385,"B","M",28,"2"
"157","4",5489,"B","M",24,"1"
"158","4",5449,"W","M",32,"2"
"159","4",9919,"B","M",32,"2"
"160","4",1856,"W","M",21,"1"
"161","4",1162,"B","M",26,"2"
"162","4",10958,"W","F",49,"3"
"163","4",3794,"B","M",46,"3"
"164","4",5127,"W","F",25,"2"
"165","4",4193,"L","M",44,"3"
"166","4",9933,"B","M",27,"2"
"167","4",3738,"W","M",28,"2"
"168","4",9231,"W","M",35,"2"
"169","4",10709,"W","M",74,"3"
"170","4",3315,"W","M",62,"3"
"171","4",6386,"L","M",28,"2"
"172","4",6546,"L","M",28,"2"
"173","4",5830,"W","M",25,"2"
"174","4",3848,"B","M",26,"2"
"175","4",9242,"W","M",38,"3"
"176","4",4290,"B","M",29,"2"
"177","4",685,"B","F",46,"3"
"178","4",7517,"B","F",41,"3"
"179","4",7437,"W","F",29,"2"
"180","4",10137,"B","M",32,"2"
"181","4",9586,"B","F",22,"1"
"182","4",9467,"B","M",22,"1"
"183","4",9336,"B","M",26,"2"
"184","4",8532,"B","M",30,"2"
"185","4",2228,"B","M",19,"1"
"186","4",10591,"W","M",40,"3"
"187","4",5985,"W","M",65,"3"
"188","4",9328,"L","F",41,"3"
"189","4",1166,"B","M",27,"2"
"190","4",7830,"B","F",31,"2"
"191","4",6171,"B","F",45,"3"
"192","4",10150,"B","M",28,"2"
"193","4",4117,"W","F",48,"3"
"194","4",42,"B","M",32,"2"
"195","4",9686,"B","M",24,"1"
"196","4",10700,"B","M",36,"3"
"197","4",9399,"L","M",43,"3"
"198","4",9820,"B","M",29,"2"
"199","4",9609,"L","F",32,"2"
"200","4",7199,"B","M",28,"2"
"201","5",10319,"B","M",43,"3"
"202","5",2901,"B","M",26,"2"
"203","5",5307,"B","M",36,"3"
"204","5",2006,"B","M",22,"1"
"205","5",115,"B","F",26,"2"
"206","5",1044,"B","M",36,"3"
"207","5",7602,"B","M",31,"2"
"208","5",2737,"B","M",26,"2"
"209","5",2020,"L","M",28,"2"
"210","5",4996,"W","M",27,"2"
"211","5",1130,"W","M",30,"2"
"212","5",2195,"B","M",25,"2"
"213","5",3309,"W","M",26,"2"
"214","5",4342,"B","M",23,"1"
"215","5",7457,"B","M",26,"2"
"216","5",3863,"W","M",26,"2"
"217","5",5882,"B","M",44,"3"
"218","5",5543,"W","M",45,"3"
"219","5",6129,"B","M",28,"2"
"220","5",7636,"B","F",38,"3"
"221","5",3145,"B","M",30,"2"
"222","5",2156,"W","M",45,"3"
"223","5",7258,"B","M",26,"2"
"224","5",7003,"B","M",61,"3"
"225","5",10327,"W","M",23,"1"
"226","5",7958,"W","M",58,"3"
"227","5",6096,"B","M",20,"1"
"228","5",10401,"W","F",47,"3"
"229","5",6586,"W","F",53,"3"
"230","5",9357,"B","M",36,"3"
"231","5",6170,"B","M",29,"2"
"232","5",1160,"B","F",23,"1"
"233","5",6377,"W","M",27,"2"
"234","5",2533,"W","M",19,"1"
"235","5",9617,"B","M",27,"2"
"236","5",5433,"B","F",20,"1"
"237","5",9833,"W","M",67,"3"
"238","5",4122,"W","F",25,"2"
"239","5",2586,"W","M",40,"3"
"240","5",1870,"B","M",20,"1"
"241","5",2502,"L","M",45,"3"
"242","5",4724,"B","F",64,"3"
"243","5",2790,"W","M",43,"3"
