1,Abuse,The intentional inﬂiction of physical or psychological injury
2,Armed Robbery,"When a person intentionally and unlawfully takes money or property from another person through the use of force, violence, assault, or threat while in possession of a ﬁrearm or other deadly weapon"
3,Assault,"An intentional and unlawful threat against another person, coupled with the apparent ability to carry out the threat, which creates a genuine and reasonable fear that violence or harm is imminent"
4,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent"
5,Battery,Intentionally causing bodily harm to another person without a weapon
6,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon
7,Burglary,"Unlawfully entering a dwelling or structure or remaining in a dwelling or structure after permission to remain has been withdrawn, with the intent to commit a crime inside"
8,Carrying a Concealed Weapon,"When a person knowingly carries, on or about their person, a weapon that is concealed from the ordinary sight of another person"
9,Child Abuse,Intentional inﬂiction of physical or mental injury upon a child
10,Child Molestation,"Intentionally touching the breasts, genitals, or buttocks of a child younger than 16 in a lewd or lascivious manner"
11,Child Neglect,"When a caregiver willfully, or through culpable negligence, fails to provide a child with the care, supervision, and services necessary to maintain the child’s physical and mental health that a prudent person would consider essential for the well-being of the child"
12,Contributing to the Delinquency Of A Minor,"When a person over the age of eighteen commits any act which causes, tends to cause, encourages, or contributes to a minor become delinquent, dependent, or a child in need of services"
13,"Criminal Damage of less than $1,000","When a person willfully and maliciously damages another person’s property - with damage less than $1,000"
14,"Criminal Damage of more than $1,000","When a person willfully and maliciously damages another person’s property - with damage of more than $1,000"
15,Dealing Cannabis/Marijuana,Possessing cannabis with the intent to sell or deliver the cannabis
16,Dealing Cocaine,Possessing cocaine with the intent to sell or deliver the cocaine
17,Dealing Controlled Substances,Possessing a criminalized narcotic or pharmacological drug with the intent to sell or deliver
18,Disorderly Conduct,"Committing an act that corrupts the public morals, outrages the sense of public decency, or affects the peace and quiet of persons who may witness them, or engages in brawling, ﬁghting, or other conduct that constitutes a breach of the peace"
19,Disorderly Intoxication,"When an intoxicated person endangers the safety of another person or property, or causes a disturbance in public"
20,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will"
21,Driving Under the Inﬂuence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
22,Driving with a Revoked License,Driving with a license that has been revoked
23,Driving with a Suspended License,Driving with a license that has been suspended
24,Driving with an Expired License,Driving with a license that is expired
25,Drug Tracking,"To sell, purchase, manufacture, deliver, possess, or transport a tracking amount (i.e., more than personal use) of drugs"
26,Escape,"When a prisoner escapes or attempts to escape from a place of conﬁnement, or when an arrested person who is being transported to or from a place of conﬁnement escapes or attempts to escape from such lawful conﬁnement"
27,Extradition of Defendants,The transfer of an accused criminal by one state or nation to another
28,Failure to Obey Police Officer,Failure to obey the orders of a police officer
